transaction_id,date,customer_id,category,product,quantity,unit_price,total_amount,region,payment_method,status
TXN_004380,2023-11-16,CUST_0901,Sports & Loisirs,Tapis de yoga,3,258.06,774.18,Grand Est,Carte bancaire,Complété
TXN_003678,2023-11-16,CUST_0485,Sports & Loisirs,Sac de sport,1,150.35,150.35,Occitanie,Carte bancaire,Complété
TXN_004321,2023-11-16,CUST_0606,Sports & Loisirs,Tapis de yoga,1,446.88,446.88,Occitanie,Carte bancaire,Complété
TXN_001593,2023-11-16,CUST_0315,Vêtements,T-shirt,1,48.98,48.98,Auvergne-Rhône-Alpes,PayPal,Complété
TXN_003962,2023-11-16,CUST_0868,Sports & Loisirs,Gourde,2,517.3,1034.6,Île-de-France,Virement,Complété
TXN_000869,2023-11-16,CUST_0400,Vêtements,Sac à main,2,35.36,70.72,Grand Est,PayPal,Complété
TXN_001576,2023-11-16,CUST_0803,Vêtements,Chaussures,4,16.15,64.6,Île-de-France,Apple Pay,Complété
TXN_002300,2023-11-16,CUST_0406,Livres,Cuisine,1,11.96,11.96,Nouvelle-Aquitaine,PayPal,Complété
TXN_004385,2023-11-16,CUST_0726,Maison & Jardin,Coussin,1,16.21,16.21,Île-de-France,Apple Pay,Complété
TXN_004401,2023-11-16,CUST_0043,Sports & Loisirs,Ballon,2,17.86,35.72,Provence-Alpes-Côte d'Azur,Apple Pay,Complété
TXN_003350,2023-11-16,CUST_0190,Électronique,Smartphone,3,361.66,0.0,Bretagne,Apple Pay,Remboursé
TXN_003312,2023-11-16,CUST_0298,Maison & Jardin,Bougie,1,165.72,165.72,Bretagne,PayPal,Complété
TXN_002422,2023-11-16,CUST_0776,Sports & Loisirs,Gourde,3,136.06,408.18,Île-de-France,Apple Pay,Complété
TXN_002639,2023-11-16,CUST_0184,Sports & Loisirs,Vélo,1,101.21,101.21,Grand Est,Virement,Complété
TXN_002803,2023-11-16,CUST_0420,Sports & Loisirs,Tapis de yoga,1,500.35,500.35,Occitanie,Carte bancaire,Complété
TXN_003147,2023-11-16,CUST_0542,Sports & Loisirs,Ballon,2,487.1,974.2,Occitanie,Virement,Complété
TXN_004432,2023-11-16,CUST_0392,Sports & Loisirs,Tapis de yoga,1,141.07,141.07,Provence-Alpes-Côte d'Azur,PayPal,Complété
TXN_003762,2023-11-17,CUST_0211,Sports & Loisirs,Gourde,3,163.09,489.27,Nouvelle-Aquitaine,Carte bancaire,Complété
TXN_000766,2023-11-17,CUST_0707,Maison & Jardin,Coussin,1,64.06,64.06,Auvergne-Rhône-Alpes,Virement,Complété
TXN_001249,2023-11-17,CUST_0172,Électronique,Écouteurs,1,981.7,981.7,Bretagne,Virement,Complété
TXN_002985,2023-11-17,CUST_0132,Vêtements,T-shirt,2,95.11,190.22,Grand Est,PayPal,Complété
TXN_004663,2023-11-17,CUST_0812,Maison & Jardin,Coussin,1,145.02,145.02,Hauts-de-France,Carte bancaire,Complété
TXN_004330,2023-11-17,CUST_0659,Vêtements,T-shirt,1,45.61,45.61,Auvergne-Rhône-Alpes,PayPal,Complété
TXN_001591,2023-11-17,CUST_0937,Sports & Loisirs,Gourde,1,85.54,85.54,Provence-Alpes-Côte d'Azur,PayPal,Complété
TXN_003342,2023-11-17,CUST_0434,Sports & Loisirs,Sac de sport,2,69.03,138.06,Provence-Alpes-Côte d'Azur,Carte bancaire,Complété
TXN_003133,2023-11-17,CUST_0232,Maison & Jardin,Bougie,1,69.21,69.21,Grand Est,Carte bancaire,Complété
TXN_003498,2023-11-17,CUST_0330,Électronique,Laptop,1,653.72,653.72,Provence-Alpes-Côte d'Azur,Apple Pay,Complété
TXN_003163,2023-11-17,CUST_0634,Livres,BD,1,13.66,13.66,Île-de-France,Carte bancaire,Complété
TXN_002411,2023-11-17,CUST_0787,Livres,Roman,1,10.58,10.58,Bretagne,Virement,Complété
TXN_004220,2023-11-17,CUST_0940,Sports & Loisirs,Vélo,2,375.42,750.84,Auvergne-Rhône-Alpes,Carte bancaire,Complété
TXN_001502,2023-11-17,CUST_0515,Maison & Jardin,Coussin,1,270.18,270.18,Provence-Alpes-Côte d'Azur,Carte bancaire,Complété
TXN_002575,2023-11-17,CUST_0414,Maison & Jardin,Coussin,2,59.51,119.02,Nouvelle-Aquitaine,PayPal,Complété
TXN_002624,2023-11-17,CUST_0810,Électronique,Laptop,3,942.42,2827.26,Île-de-France,PayPal,Complété
TXN_001746,2023-11-17,CUST_0878,Vêtements,Sac à main,2,145.26,290.52,Nouvelle-Aquitaine,Carte bancaire,Complété
TXN_004107,2023-11-17,CUST_0054,Vêtements,T-shirt,5,54.14,270.7,Nouvelle-Aquitaine,Carte bancaire,Complété
TXN_001305,2023-11-17,CUST_0082,Vêtements,Sac à main,5,69.11,0.0,Île-de-France,PayPal,Annulé
TXN_004967,2023-11-17,CUST_0307,Livres,Guide pratique,1,19.96,19.96,Île-de-France,PayPal,Complété
TXN_000506,2023-11-17,CUST_0457,Vêtements,Robe,2,131.03,262.06,Île-de-France,Virement,Complété
TXN_001955,2023-11-17,CUST_0125,Vêtements,Chaussures,1,144.5,144.5,Provence-Alpes-Côte d'Azur,PayPal,Complété
TXN_000025,2023-11-17,CUST_0226,Maison & Jardin,Aspirateur,3,170.86,512.58,Île-de-France,Carte bancaire,Complété
TXN_000153,2023-11-18,CUST_0898,Sports & Loisirs,Tapis de yoga,1,114.6,114.6,Hauts-de-France,Virement,Complété
TXN_002162,2023-11-18,CUST_0281,Livres,Biographie,1,36.06,36.06,Grand Est,Virement,Complété
TXN_000281,2023-11-18,CUST_0915,Maison & Jardin,Coussin,2,149.33,298.66,Provence-Alpes-Côte d'Azur,Virement,Complété
TXN_001768,2023-11-18,CUST_0436,Vêtements,Chaussures,3,138.47,415.41,Île-de-France,Virement,Complété
TXN_001386,2023-11-18,CUST_0193,Électronique,Enceinte Bluetooth,2,940.53,1881.06,Provence-Alpes-Côte d'Azur,Virement,Complété
TXN_004053,2023-11-18,CUST_0322,Sports & Loisirs,Tapis de yoga,1,48.47,48.47,Auvergne-Rhône-Alpes,PayPal,Complété
TXN_000784,2023-11-18,CUST_0009,Livres,Guide pratique,2,7.62,15.24,Auvergne-Rhône-Alpes,Apple Pay,Complété
TXN_002756,2023-11-18,CUST_0236,Maison & Jardin,Plante,2,260.1,520.2,Occitanie,Carte bancaire,Complété
TXN_003559,2023-11-18,CUST_0717,Électronique,Écouteurs,3,691.05,2073.15,Bretagne,Apple Pay,Complété
TXN_000895,2023-11-18,CUST_0486,Livres,BD,1,23.0,23.0,Occitanie,PayPal,Complété
TXN_001996,2023-11-18,CUST_0012,Sports & Loisirs,Tapis de yoga,2,357.08,714.16,Auvergne-Rhône-Alpes,Virement,Complété
TXN_001040,2023-11-18,CUST_0390,Livres,Roman,1,40.42,40.42,Auvergne-Rhône-Alpes,Apple Pay,Complété
TXN_000940,2023-11-18,CUST_0456,Livres,Roman,1,7.76,7.76,Hauts-de-France,Apple Pay,Complété
TXN_001783,2023-11-18,CUST_0738,Électronique,Tablette,1,203.59,203.59,Occitanie,Virement,Complété
TXN_000316,2023-11-18,CUST_0697,Vêtements,Robe,1,128.84,128.84,Nouvelle-Aquitaine,Apple Pay,Complété
TXN_004630,2023-11-18,CUST_0755,Maison & Jardin,Plante,1,240.89,240.89,Hauts-de-France,Apple Pay,Complété
TXN_000582,2023-11-18,CUST_0764,Sports & Loisirs,Raquette,1,180.72,180.72,Île-de-France,Carte bancaire,Complété
TXN_003315,2023-11-18,CUST_0503,Sports & Loisirs,Raquette,2,150.74,301.48,Bretagne,Carte bancaire,Complété
TXN_003766,2023-11-18,CUST_0027,Électronique,Montre connectée,1,572.56,572.56,Bretagne,PayPal,Complété
TXN_001605,2023-11-18,CUST_0022,Vêtements,T-shirt,2,103.4,206.8,Provence-Alpes-Côte d'Azur,Virement,Complété
TXN_000585,2023-11-18,CUST_0786,Électronique,Laptop,1,986.66,0.0,Grand Est,Virement,Annulé
TXN_000313,2023-11-19,CUST_0719,Sports & Loisirs,Gourde,4,482.03,1928.12,Grand Est,PayPal,Complété
TXN_000896,2023-11-19,CUST_0460,Livres,Biographie,1,6.01,6.01,Bretagne,Virement,Complété
TXN_001030,2023-11-19,CUST_0695,Électronique,Enceinte Bluetooth,2,101.21,202.42,Île-de-France,PayPal,Complété
TXN_000902,2023-11-19,CUST_0059,Maison & Jardin,Cafetière,3,20.35,61.05,Nouvelle-Aquitaine,Carte bancaire,Complété
TXN_003409,2023-11-19,CUST_0224,Sports & Loisirs,Raquette,2,426.93,853.86,Hauts-de-France,Carte bancaire,Complété
TXN_000583,2023-11-19,CUST_0846,Sports & Loisirs,Raquette,1,27.83,27.83,Auvergne-Rhône-Alpes,Virement,Complété
TXN_004315,2023-11-19,CUST_0933,Électronique,Tablette,3,273.55,820.65,Occitanie,PayPal,Complété
TXN_003584,2023-11-19,CUST_0840,Livres,Roman,1,40.85,40.85,Hauts-de-France,Carte bancaire,Complété
TXN_001929,2023-11-19,CUST_0574,Maison & Jardin,Coussin,4,231.02,924.08,Nouvelle-Aquitaine,PayPal,Complété
TXN_004050,2023-11-19,CUST_0808,Électronique,Tablette,1,63.14,63.14,Nouvelle-Aquitaine,Virement,Complété
TXN_004684,2023-11-19,CUST_0759,Livres,Cuisine,2,35.86,71.72,Provence-Alpes-Côte d'Azur,Apple Pay,Complété
TXN_003265,2023-11-19,CUST_0326,Sports & Loisirs,Raquette,1,253.71,253.71,Auvergne-Rhône-Alpes,PayPal,Complété
TXN_001023,2023-11-19,CUST_0691,Sports & Loisirs,Gourde,4,171.53,686.12,Grand Est,Carte bancaire,Complété
TXN_003201,2023-11-19,CUST_0812,Vêtements,T-shirt,3,18.66,55.98,Nouvelle-Aquitaine,Apple Pay,Complété
TXN_004168,2023-11-19,CUST_0140,Sports & Loisirs,Raquette,1,93.16,93.16,Bretagne,PayPal,Complété
TXN_000295,2023-11-19,CUST_0355,Maison & Jardin,Aspirateur,1,97.41,97.41,Grand Est,Virement,Complété
TXN_000058,2023-11-19,CUST_0272,Électronique,Tablette,2,278.97,557.94,Île-de-France,Carte bancaire,Complété
TXN_003817,2023-11-19,CUST_0893,Maison & Jardin,Cafetière,3,99.58,298.74,Provence-Alpes-Côte d'Azur,Carte bancaire,Complété
TXN_002921,2023-11-19,CUST_0865,Sports & Loisirs,Sac de sport,2,381.52,763.04,Grand Est,Carte bancaire,Complété
TXN_002949,2023-11-19,CUST_0235,Électronique,Laptop,2,59.2,118.4,Occitanie,Carte bancaire,Complété
TXN_003709,2023-11-19,CUST_0942,Électronique,Laptop,2,1221.05,2442.1,Hauts-de-France,Carte bancaire,Complété
TXN_002824,2023-11-19,CUST_0182,Livres,Science-fiction,1,13.24,13.24,Hauts-de-France,PayPal,Complété
TXN_001316,2023-11-19,CUST_0444,Sports & Loisirs,Raquette,2,221.87,443.74,Provence-Alpes-Côte d'Azur,Apple Pay,Complété
TXN_001712,2023-11-19,CUST_0800,Livres,BD,4,41.45,165.8,Hauts-de-France,PayPal,Complété
TXN_002505,2023-11-20,CUST_0594,Livres,Guide pratique,1,12.19,12.19,Bretagne,PayPal,Complété
TXN_001518,2023-11-20,CUST_0945,Électronique,Laptop,1,965.98,965.98,Bretagne,Apple Pay,Complété
TXN_002716,2023-11-20,CUST_0970,Livres,BD,1,47.53,47.53,Occitanie,Apple Pay,Complété
TXN_003769,2023-11-20,CUST_0780,Livres,Science-fiction,1,17.54,0.0,Auvergne-Rhône-Alpes,PayPal,Annulé
